IP 地址	已发送	已接收	丢包率	平均延迟	下载速度 (MB/s)
172.66.45.15	4	4	0	183.65	28.35
104.21.25.242	4	4	0	180.37	26.75
104.18.181.247	4	4	0	162.15	6.82
104.21.224.119	4	4	0	176.73	6.42
104.21.228.11	4	4	0	183.88	5.52
104.21.20.101	4	4	0	180.82	23.2
104.21.29.58	4	4	0	182.84	22.66
104.21.238.190	4	4	0	171.86	21.03
172.67.72.59	4	4	0	180.15	7.45
104.21.233.204	4	4	0	182.86	6.97
104.19.169.241	4	4	0	203.71	34.31
104.22.62.228	4	4	0	195.78	23.68
104.22.49.172	4	4	0	199.99	23.11
104.19.162.5	4	4	0	202.9	20.04
198.62.62.133	4	4	0	196.06	16.84
172.64.83.166	4	4	0	221.83	25.65
162.159.247.91	4	4	0	224.44	17.79
172.67.66.185	4	4	0	216.44	12.4
104.20.5.248	4	4	0	217.46	9.39
193.9.49.47	4	4	0	212.79	6.55
